zip,seaport,landprice,oilreserve,existingplants,disasters,railroad,populationdensity,actual,elevation
4090,3,-1,3,3,3,2,3,N,3
4216,1,-1,3,3,-1,2,3,N,3
4330,3,-1,3,3,-1,2,3,N,3
4614,3,-1,3,3,-1,2,3,N,3
4942,1,-1,3,3,-1,2,3,N,3
4988,3,-1,3,3,-1,2,3,N,3
5034,3,-1,2,3,2,2,3,N,3
5150,1,-1,2,3,2,2,3,N,3
5154,1,-1,2,3,3,2,3,N,3
5253,3,-1,2,3,2,2,3,N,-1
5260,3,-1,2,3,2,2,3,N,-1
5341,3,-1,2,3,3,2,3,N,-1
5440,3,-1,2,3,2,2,3,N,3
5447,3,-1,2,3,2,2,3,N,-1
5457,3,-1,2,3,2,2,3,N,3
5666,3,-1,2,3,2,2,3,N,-1
5674,3,-1,2,3,2,2,3,N,3
5734,3,-1,2,3,2,2,3,N,3
5736,3,-1,2,3,2,2,3,N,-1
5829,1,-1,3,3,-1,2,3,N,3
5901,1,-1,3,3,-1,2,3,N,-1
5904,1,-1,3,3,-1,2,3,N,-1
10965,3,1,3,2,2,2,1,N,3
11214,3,1,2,2,2,2,1,N,3
11954,3,-1,2,3,2,2,3,N,3
12139,3,-1,2,3,2,2,3,N,-1
12946,3,-1,2,3,2,2,3,N,3
12980,3,-1,2,3,2,2,3,N,3
13324,3,-1,2,3,2,2,3,N,3
13408,3,-1,2,3,2,2,3,N,3
13684,3,-1,2,3,2,2,3,N,3
13755,3,-1,3,3,2,2,3,N,3
13849,1,-1,3,3,2,2,3,N,3
20180,3,2,3,3,-1,2,2,N,3
22003,3,2,2,3,-1,2,2,N,3
22625,1,-1,3,3,-1,2,3,N,3
23139,3,-1,2,3,-1,2,3,N,3
23395,3,-1,2,3,-1,2,3,N,3
23417,3,-1,2,3,-1,2,3,N,3
23960,1,-1,2,3,-1,2,3,N,3
24066,1,-1,2,3,-1,2,3,N,3
24228,1,-1,2,3,-1,2,3,N,3
24270,1,-1,2,3,3,2,3,N,3
24292,1,-1,2,3,3,2,3,N,2
24413,1,-1,2,3,-1,2,3,N,-1
24574,1,-1,2,3,-1,2,3,N,3
24634,1,-1,2,3,-1,2,3,N,-1
27513,1,-1,3,3,3,2,3,N,3
