time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-31T02:04:25.940Z,55.8656,-149.8357,7.14,3.5,ml,,203,2.346,0.62,us,us1000dbsr,2018-04-01T03:02:57.040Z,"265km SE of Kodiak, Alaska",earthquake,7.5,5.9,0.057,40,reviewed,us,us
2018-03-31T01:18:41.170Z,55.9774,-149.8768,6.93,3.7,ml,,199,2.261,0.64,us,us1000dbs8,2018-04-01T02:30:55.040Z,"254km SE of Kodiak, Alaska",earthquake,9.8,8.4,0.059,38,reviewed,us,us
2018-03-31T01:07:49.570Z,56.1542,-149.9577,17.2,4.5,mb,,141,2.126,0.8,us,us1000dbrr,2018-04-01T02:15:22.362Z,"235km SE of Kodiak, Alaska",earthquake,7.4,5.7,0.081,45,reviewed,us,us
2018-03-30T21:38:34.319Z,61.8718,-150.1264,37.1,2.7,ml,,,,0.57,ak,ak18850703,2018-04-02T22:14:52.040Z,"14km NNW of Willow, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2018-03-30T18:48:25.290Z,61.5801,-149.9754,42.5,2.8,ml,,,,0.65,ak,ak18847966,2018-03-30T19:48:37.041Z,"13km NW of Big Lake, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2018-03-30T15:28:48.419Z,58.2406,-152.9296,47.3,3.3,ml,,,,0.63,ak,ak18844093,2018-03-30T17:13:43.040Z,"56km NNW of Kodiak Station, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-03-30T11:36:00.744Z,61.5525,-149.9536,46.8,4.1,ml,,,,0.51,ak,ak18839161,2018-04-02T07:25:30.181Z,"5km NNE of Big Lake, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2018-03-30T08:31:56.301Z,63.6404,-151.4294,16.8,3.7,ml,,,,0.95,ak,ak18836743,2018-03-30T12:29:58.040Z,"123km W of Healy, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-03-29T22:05:57.311Z,63.1697,-150.712,127.5,2.5,ml,,,,0.49,ak,ak18825064,2018-03-29T22:10:50.373Z,"91km WSW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-03-29T20:52:35.810Z,56.2998,-149.2085,10,4,ml,,196,2.369,0.37,us,us1000db2v,2018-04-03T19:27:01.040Z,"255km SE of Kodiak, Alaska",earthquake,8,2,0.048,58,reviewed,us,us
2018-03-29T20:12:07.850Z,56.3082,-148.5335,10,4.1,mb,,161,2.661,0.82,us,us1000db02,2018-04-03T19:31:41.040Z,"287km ESE of Kodiak, Alaska",earthquake,6,1.9,0.301,3,reviewed,us,us
2018-03-29T20:00:44.542Z,62.045,-148.8997,20.1,2.9,ml,,,,0.78,ak,ak18822670,2018-04-03T15:22:06.040Z,"29km N of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-29T19:48:30.990Z,56.4555,-148.7113,10,4.3,mb,,139,2.495,0.58,us,us1000daza,2018-04-03T15:24:22.040Z,"268km ESE of Kodiak, Alaska",earthquake,7,1.9,0.084,40,reviewed,us,us
2018-03-29T19:19:20.180Z,56.5136,-148.5537,10,4.6,mb,,137,2.537,1.04,us,us1000dayk,2018-04-03T15:57:06.040Z,"273km ESE of Kodiak, Alaska",earthquake,3.4,1.9,0.056,93,reviewed,us,us
2018-03-29T14:38:13.850Z,56.5754,-148.6193,19.6,3.1,ml,,198,2.474,0.71,us,us1000daru,2018-03-29T16:17:31.040Z,"265km ESE of Kodiak, Alaska",earthquake,6.5,9.3,0.046,62,reviewed,us,us
2018-03-29T10:27:43.607Z,56.5456,-148.5783,10,2.6,ml,,,,0.98,ak,ak18817149,2018-03-29T22:57:19.215Z,"269km ESE of Kodiak, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-03-29T03:07:05.365Z,56.2542,-153.4105,10.8,3.1,ml,,,,0.36,ak,ak18811753,2018-03-29T03:14:21.273Z,"145km ENE of Chirikof Island, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-03-28T22:16:55.139Z,56.5356,-148.6713,34.2,2.9,ml,,,,0.79,ak,ak18806389,2018-03-28T22:24:52.873Z,"265km ESE of Kodiak, Alaska",earthquake,,4.8,,,automatic,ak,ak
2018-03-28T21:39:33.971Z,60.0228,-153.5054,170.8,2.5,ml,,,,0.83,ak,ak18806370,2018-03-28T21:51:52.784Z,"66km SW of Redoubt Volcano, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-03-28T10:25:32.420Z,56.5878,-148.4304,20.14,3.6,ml,,226,2.558,0.61,us,us1000da1y,2018-03-28T11:11:16.040Z,"275km ESE of Kodiak, Alaska",earthquake,8.5,10.7,0.044,68,reviewed,us,us
2018-03-28T02:49:41.167Z,56.1751,-149.1517,5,2.9,ml,,,,0.86,ak,ak18797386,2018-03-28T19:31:13.664Z,"267km SE of Kodiak, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-03-28T00:02:48.958Z,56.5625,-148.7114,10,2.7,ml,,,,1.26,ak,ak18795301,2018-03-28T18:37:52.696Z,"261km ESE of Kodiak, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-03-27T23:09:14.130Z,56.4198,-148.6135,21.11,3.1,ml,,217,2.561,0.61,us,us1000d9xc,2018-03-28T00:35:06.040Z,"275km ESE of Kodiak, Alaska",earthquake,4.3,10.5,0.052,48,reviewed,us,us
2018-03-27T22:41:08.710Z,56.5319,-148.5963,5.81,5.4,mww,,90,2.508,0.72,us,us1000d9wb,2018-04-02T15:33:01.809Z,"269km ESE of Kodiak, Alaska",earthquake,6,3.8,0.04,61,reviewed,us,us
2018-03-27T22:16:18.920Z,56.6303,-148.7142,18.36,4.4,mb,,136,2.401,0.94,us,us1000d9vq,2018-03-27T22:55:24.040Z,"257km ESE of Kodiak, Alaska",earthquake,6.6,5,0.07,58,reviewed,us,us
2018-03-27T20:51:43.840Z,56.4483,-148.6528,10,4.2,mb,,206,2.527,0.34,us,us1000d9tc,2018-04-02T19:02:08.040Z,"272km ESE of Kodiak, Alaska",earthquake,10.1,2,0.303,3,reviewed,us,us
2018-03-27T20:43:28.714Z,59.7817,-154.0048,174.5,2.6,ml,,,,0.66,ak,ak18793296,2018-03-27T20:59:26.572Z,"51km E of Old Iliamna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-03-27T20:26:55.240Z,56.4686,-148.6386,10,3.7,ml,,216,2.522,0.27,us,us1000d9su,2018-04-02T18:56:19.040Z,"271km ESE of Kodiak, Alaska",earthquake,3.4,2,0.044,68,reviewed,us,us
2018-03-27T20:21:23.236Z,63.0396,-151.0333,0.8,3.1,ml,,,,0.59,ak,ak18793276,2018-03-27T20:29:49.159Z,"92km NNW of Talkeetna, Alaska",earthquake,,1.7,,,automatic,ak,ak
2018-03-27T20:20:44.919Z,63.2442,-151.0686,8.3,2.7,ml,,,,0.98,ak,ak18793271,2018-03-27T20:34:51.704Z,"107km W of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-27T20:12:01.238Z,56.7404,-148.6866,20.3,3.4,ml,,,,0.48,ak,ak18793255,2018-03-27T20:17:21.853Z,"253km ESE of Kodiak, Alaska",earthquake,,5.6,,,automatic,ak,ak
2018-03-27T19:40:45.256Z,57.7919,-150.4976,4.4,2.8,ml,,,,0.89,ak,ak18792290,2018-03-27T19:44:41.783Z,"113km E of Kodiak, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-03-27T19:40:25.100Z,56.5508,-148.6548,10,4,ml,,149,2.47,0.51,us,us1000d9ry,2018-04-02T18:17:10.040Z,"265km ESE of Kodiak, Alaska",earthquake,4,2,0.042,76,reviewed,us,us
2018-03-27T11:51:22.339Z,56.5908,-148.7162,72.3,3.6,ml,,,,0.86,ak,ak18790203,2018-03-27T11:55:39.398Z,"260km ESE of Kodiak, Alaska",earthquake,,12,,,automatic,ak,ak
2018-03-27T10:56:49.827Z,61.7504,-151.6429,87.2,2.9,ml,,,,0.48,ak,ak18789259,2018-03-30T12:00:38.754Z,"84km W of Willow, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-03-27T09:48:45.790Z,56.4129,-148.652,17.13,4,ml,,228,2.547,0.71,us,us1000d9hx,2018-03-27T16:06:53.761Z,"274km ESE of Kodiak, Alaska",earthquake,8.6,8.2,0.045,66,reviewed,us,us
2018-03-27T03:35:14.792Z,56.5281,-148.9549,11.9,3.7,ml,,,,0.76,ak,ak18784529,2018-03-27T15:59:08.788Z,"251km ESE of Kodiak, Alaska",earthquake,,3,,,reviewed,ak,ak
2018-03-27T02:03:36.377Z,63.5983,-150.7418,2.4,2.6,ml,,,,0.91,ak,ak18784519,2018-03-30T11:51:48.792Z,"92km WSW of Healy, Alaska",earthquake,,0.3,,,automatic,ak,ak
